Contributor        Additions       Deletions         Commits
============================================================
djanowski                 25               0               3
steveprice67              32               0               2
lucianosousa             648               0               2
sjoonk                  1926               0               2
ishikawa                  12               0               2
adamvaughan                1               1               1
rbq                        3               1               1
jaseg                      6               1               2
jacobo                    12               1               2
acco                       3               1               2
trans                     15               1               2
cldwalker                  9               1               2
blambeau                  98               1               3
sporkmonger               35               1               2
jbottigliero               2               2               2
tayler1                    2               2               2
nakajima                  35               2               2
npenzin                    2               2               2
trevor                     2               2               2
bleything                 18               3               2
jc00ke                   152               3               3
bdimcheff                124               3               2
dekellum                   7               3               2
mcfiredrill                3               3               3
postmodern                 3               3               2
DAddYE                    12               3               3
reinh                     21               3               3
dylanegan                129               3               3
sbonami                    8               3               3
karmi                    150               3               2
schmidt                    4               3               2
jeremyevans              116               4               5
nmeans                   149               5               4
gogotanaka                25               5               2
vangberg                  26               5               3
jcrosby                   21               5               2
kyanagi                  454               6               2
tj                        37               6               3
dougireton                 6               6               3
wbzyl                      7               7               1
nesquena                  74               7               3
Wolg                      27               7               6
DamirSvrtan               10               7               6
yeban                     49               7               4
jammur                    13               8               2
kematzy                  108               8               2
namusyaka                 10               9               4
chanks                    38               9               2
gaku                       8               9               4
lest                       9               9               4
kintamanimatt              6              10               2
zaki                      53              11               2
cschneid                 115              12               7
stevehodgkiss            118              12               3
baldowl                   12              12               3
krekoten                  11              12               2
nusco                      5              14               2
splattael                 15              15               3
tjbladez                1035              16               4
nico-hn                    9              17               2
pvande                   142              22               4
mattwildig                38              22              10
kytrinyx                 199              29               5
foca                     241              31               6
nashby                    45              36               5
raggi                     38              39               4
alexeymuranov            208              44               7
adamwiggins             7774              45               5
scudelletti               55              46               3
timfel                    87              52              20
0x203                     63              63               2
ausmarton                 67              67               2
davydovanton             204              80              10
wuleicanada              108              89               3
nouse                   1889             100               4
DyegoCosta               907             112               3
cypher                   355             127              19
mig-hub                  810             168               2
mnoble                   247             248               3
floere                   468             271              21
bmizerany                885             387              65
tricknotes               544             388               3
patriciomacadden         707             522              27
vipulnsward              566             568              32
sylvaindesve            1839             666               6
michelc                 1258             699              44
gnandretta              2946             752              95
zzak                     721             813              19
marocchino              1313             839               8
nzwsch                  1140            1099               8
robin850                2819            2322               2
sr                      4204            2874              87
vast                    4691            3045              32
kgrz                    4062            3100              12
melborne                4651            3251               8
burningTyger            6284            4376              40
gcapizzi                6658            4575               5
yb66                    5294            4994               6
rkh                    12665            6844             761
rtomayko               12134           10753             274
➜  lib git:(hwcommitchamp) ✗
